"Comoros","Total renewable water resources (10^9 m3/year)",1962,1.2,"","[23]",1967,1.2,"","[24]",1972,1.2,"","[25]",1977,1.2,"","[26]",1982,1.2,"","[27]",1987,1.2,"","[28]",1992,1.2,"","[29]",1997,1.2,"","[30]",2002,1.2,"","[31]",2007,1.2,"","[32]",2012,1.2,"","[33]",2017,1.2,"",

"",,,"1958-1962",,,,"1963-1967",,,,"1968-1972",,,,"1973-1977",,,,"1978-1982",,,,"1983-1987",,,,"1988-1992",,,,"1993-1997",,,,"1998-2002",,,,"2003-2007",,,,"2008-2012",,,,"2013-2017",,
"Congo","Total renewable water resources (10^9 m3/year)",1962,832.0,"I",,1967,832.0,"I",,1972,832.0,"I",,1977,832.0,"I",,1982,832.0,"I",,1987,832.0,"I",,1992,832.0,"I",,1997,832.0,"I",,2002,832.0,"I",,2007,832.0,"I",,2012,832.0,"I",,2017,832.0,"I",

"",,,"1958-1962",,,,"1963-1967",,,,"1968-1972",,,,"1973-1977",,,,"1978-1982",,,,"1983-1987",,,,"1988-1992",,,,"1993-1997",,,,"1998-2002",,,,"2003-2007",,,,"2008-2012",,,,"2013-2017",,
"Cook Islands","Total renewable water resources (10^9 m3/year)",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",

"",,,"1958-1962",,,,"1963-1967",,,,"1968-1972",,,,"1973-1977",,,,"1978-1982",,,,"1983-1987",,,,"1988-1992",,,,"1993-1997",,,,"1998-2002",,,,"2003-2007",,,,"2008-2012",,,,"2013-2017",,
"Costa Rica","Total renewable water resources (10^9 m3/year)",1962,113.0,"",,1967,113.0,"",,1972,113.0,"",,1977,113.0,"",,1982,113.0,"",,1987,113.0,"",,1992,113.0,"",,1997,113.0,"",,2002,113.0,"",,2007,113.0,"",,2012,113.0,"",,2017,113.0,"",

"",,,"1958-1962",,,,"1963-1967",,,,"1968-1972",,,,"1973-1977",,,,"1978-1982",,,,"1983-1987",,,,"1988-1992",,,,"1993-1997",,,,"1998-2002",,,,"2003-2007",,,,"2008-2012",,,,"2013-2017",,
